iter,Loss,L1,mask,SSIM,LPIPS
44,"tensor([0.0625], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0286, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1092, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8427, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1897], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
45,"tensor([0.0653], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0308, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1063, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8346, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1877], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
46,"tensor([0.0628], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0290, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1197, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8489, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1802], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
47,"tensor([0.0596], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0251, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1072, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8644, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1725], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
48,"tensor([0.0583], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0230, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0718, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8881, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1333], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
49,"tensor([0.0598], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0276, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0934, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8614, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1799], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
50,"tensor([0.0611], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0274, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1147, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8506, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1862], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
51,"tensor([0.0605], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0253, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1170, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8522, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1769], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
52,"tensor([0.0609], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0281, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1174, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8443, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1947], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
53,"tensor([0.0606], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0274, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0969, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8675, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1692], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
54,"tensor([0.0595], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0254, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1071, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8612, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1712], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
55,"tensor([0.0598], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0210, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0951, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8808, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1500], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
56,"tensor([0.0616], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0237, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1013, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8719, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1590], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
57,"tensor([0.0624], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0285, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1027, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8568, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1692], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
58,"tensor([0.0574], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0221, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1068, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8727, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1567], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
59,"tensor([0.0591], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0217, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0872, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8908, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1378], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
60,"tensor([0.0595], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0251, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1049, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8586, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1635], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
61,"tensor([0.0593], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0245, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1073, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8648, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1719], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
62,"tensor([0.0577], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0240, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0866, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8786, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1509], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
63,"tensor([0.0563], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0206, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1052, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8802, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1503], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
64,"tensor([0.0602], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0256, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1112, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8636, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1653], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
65,"tensor([0.0558], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0194, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0975, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8894, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1409], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
66,"tensor([0.0576], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0207, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1118, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8822, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1640], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
67,"tensor([0.0572], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0239, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1043, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8676, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1661], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
68,"tensor([0.0582], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0252, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0966, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8690, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1642], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
69,"tensor([0.0564], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0243, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0837, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8791, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1517], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
70,"tensor([0.0581], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0255, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0989, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8688, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1697], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
71,"tensor([0.0576], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0223, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1031, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8753, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1542], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
