iter,Loss,L1,mask,SSIM,LPIPS
2678,"tensor([0.0242], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0096, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0128, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9473, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0463], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2679,"tensor([0.0239], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0054, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0051, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9759, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0223], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2680,"tensor([0.0242], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0078, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9589, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0419], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2681,"tensor([0.0223], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0073, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0115, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9574, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0395], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2682,"tensor([0.0235], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0068, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0098, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9638, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0353], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2683,"tensor([0.0256], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0073, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0107, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9576, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0423], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2684,"tensor([0.0237], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0074, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0098, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9607, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0404], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2685,"tensor([0.0241], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0052, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0057, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9756, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0228], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2686,"tensor([0.0244], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0081, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0074, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9618, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0400], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2687,"tensor([0.0277], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0097, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9529, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0398], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2688,"tensor([0.0260], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0069, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0114, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9603, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0397], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2689,"tensor([0.0237], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0070, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0094, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9615, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0378], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2690,"tensor([0.0225], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0094, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9498, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0423], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2691,"tensor([0.0247], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0073, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0080, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9634, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0274], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2692,"tensor([0.0245], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0075, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0084, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9593, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0397], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2693,"tensor([0.0233], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0080, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0105, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9579, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0404], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2694,"tensor([0.0231], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0073, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0080, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9645, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0365], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2695,"tensor([0.0219], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0072, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0101, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9623, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0386], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2696,"tensor([0.0234], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0077, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0087, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9646, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0372], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2697,"tensor([0.0221], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0080, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0111, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9548, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0444], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2698,"tensor([0.0242], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0065, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0081, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9627, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0372], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2699,"tensor([0.0242], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0062, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0093, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9655, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0389], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2700,"tensor([0.0242], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0080, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0096, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9556, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0397], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2701,"tensor([0.0287], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0074, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0069, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9635, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0286], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2702,"tensor([0.0223], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0066, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0074, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9688, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0335], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2703,"tensor([0.0243], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0050, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0057, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9767, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0204], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2704,"tensor([0.0227], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0074, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0125, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9575, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0427], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2705,"tensor([0.0233], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0081, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0089, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9590, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0404], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2706,"tensor([0.0277], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0077, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0108, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9565, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0327], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2707,"tensor([0.0295], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0069, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0094, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9593, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0305], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2708,"tensor([0.0260], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0096, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9437, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0407], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2709,"tensor([0.0283], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0059, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0069, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9695, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0233], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2710,"tensor([0.0270], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0083, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0082, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9585, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0318], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2711,"tensor([0.0233], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0075, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0097, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9606, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0401], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2712,"tensor([0.0207], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0068, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0099, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9628, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0401], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2713,"tensor([0.0247], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0076, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0085, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9579, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0372], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2714,"tensor([0.0250], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0075, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0099, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9564, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0378], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2715,"tensor([0.0238], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0087, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0105, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9476, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0479], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2716,"tensor([0.0283], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0076, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0094, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9569, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0336], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2717,"tensor([0.0236], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0073, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0085, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9628, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0355], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2718,"tensor([0.0234], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0072, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0092, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9623, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0381], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2719,"tensor([0.0237], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0058, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0086, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9691, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0361], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2720,"tensor([0.0250], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0069, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9627, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0398], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2721,"tensor([0.0228], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0083, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0107, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9483, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0486], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2722,"tensor([0.0240], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0078, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0077, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9633, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0389], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2723,"tensor([0.0234], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0049, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0052, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9791, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0208], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2724,"tensor([0.0223], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0062, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0085, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9658, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0398], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2725,"tensor([0.0241], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0083, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0096, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9547, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0413], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2726,"tensor([0.0238], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0072, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9614, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0367], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2727,"tensor([0.0221], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0064, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0115, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9625, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0378], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2728,"tensor([0.0238], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0061, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0069, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9716, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0223], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2729,"tensor([0.0262], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0078, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9574, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0407], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2730,"tensor([0.0209], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0064, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0087, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9672, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0358], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2731,"tensor([0.0283], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0088, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0080, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9561, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0319], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2732,"tensor([0.0230], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0053, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0059, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9758, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0213], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2733,"tensor([0.0251], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0089, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0095, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9566, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0409], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2734,"tensor([0.0262], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0073, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0110, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9585, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0401], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2735,"tensor([0.0236], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0067, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0093, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9611, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0386], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2736,"tensor([0.0214], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0067, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0092, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9632, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0375], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2737,"tensor([0.0272], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0057, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0073, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9710, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0269], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2738,"tensor([0.0228], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0048, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0057, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9788, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0205], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2739,"tensor([0.0295], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0070, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0075, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9604, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0353], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2740,"tensor([0.0251], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0082, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0118, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9573, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0396], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2741,"tensor([0.0234], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0081, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0093, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9610, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0413], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2742,"tensor([0.0263], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0089, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0106, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9474, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0362], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2743,"tensor([0.0249], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0088, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0093, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9549, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0350], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2744,"tensor([0.0231], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0069, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0102, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9587, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0392], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2745,"tensor([0.0246], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0080, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9606, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0396], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2746,"tensor([0.0273], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0103, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0093, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9452, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0433], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2747,"tensor([0.0237], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0069, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0065, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9617, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0360], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2748,"tensor([0.0246], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0075, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0081, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9643, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0371], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2749,"tensor([0.0246], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0073, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0075, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9643, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0360], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2750,"tensor([0.0259], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0068, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0095, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9599, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0410], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2751,"tensor([0.0241], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0064, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0082, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9627, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0356], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2752,"tensor([0.0233], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0081, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9588, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0383], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2753,"tensor([0.0262], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0094, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0081, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9561, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0363], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2754,"tensor([0.0239], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0085, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9551, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0431], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
2755,"tensor([0.0244], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0080, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0089, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9573, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0316], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
